target_chembl_id, target_uniprot_id, pref_name, canonical_smiles, IC50 uM, assay_chembl_id, molecule_chembl_id
CHEMBL1827, None, Phosphodiesterase 5A, CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)[nH]c(=O)n(C)c2[nH]1, 10000.0, CHEMBL762829, CHEMBL316185
CHEMBL1827, None, Phosphodiesterase 5A, CCCOc1ccc(S(=O)(=O)N(CC)CCN(C)C)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 11.0, CHEMBL762829, CHEMBL90164
CHEMBL1827, None, Phosphodiesterase 5A, CCCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 60.0, CHEMBL762829, CHEMBL87901
CHEMBL1827, None, Phosphodiesterase 5A, CCCOc1ccc(S(=O)(=O)N2CCN(CCN(C)C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 24.0, CHEMBL762829, CHEMBL313197
CHEMBL1827, None, Phosphodiesterase 5A, CC(C)COc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 93.0, CHEMBL762829, CHEMBL86578
CHEMBL1827, None, Phosphodiesterase 5A, CCCCCCn1c(=O)n(C)c(=O)c2[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc21, 130.0, CHEMBL762829, CHEMBL313561
CHEMBL1827, None, Phosphodiesterase 5A, CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(-c3ccccc3OCc3ccccc3)nc21, 10000.0, CHEMBL762829, CHEMBL89381
CHEMBL1827, None, Phosphodiesterase 5A, CCCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 10.0, CHEMBL762829, CHEMBL87202
CHEMBL1827, None, Phosphodiesterase 5A, CCCCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 135.0, CHEMBL762829, CHEMBL87954
CHEMBL1827, None, Phosphodiesterase 5A, CCCOc1ccc(S(=O)(=O)N2CCN(C(=O)N(C)C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 3.5, CHEMBL762829, CHEMBL327772
CHEMBL1827, None, Phosphodiesterase 5A, CCCOc1ccc(S(N)(=O)=O)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1, 5.0, CHEMBL762829, CHEMBL433418
CHEMBL1827, None, Phosphodiesterase 5A, CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)(C)C)c2[nH]1, 91.0, CHEMBL762829, CHEMBL86743
CHEMBL1827, None, Phosphodiesterase 5A, CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)[nH]c(=O)n(CC(C)C)c2[nH]1, 315.0, CHEMBL762829, CHEMBL314981
CHEMBL1827, None, Phosphodiesterase 5A, CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC3CC3)c2[nH]1, 28.0, CHEMBL762829, CHEMBL87304
CHEMBL1827, None, Phosphodiesterase 5A, CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(-c3ccccc3O)nc21, 10000.0, CHEMBL762829, CHEMBL86501
