target_chembl_id, target_uniprot_id, pref_name, canonical_smiles, IC50 uM, molecule_chembl_id, assay_chembl_id, pdb_comp_id
CHEMBL2074, O43451, Maltase-glucoamylase, OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O, 110000.0, CHEMBL649260, CHEMBL2114210, None
CHEMBL2074, O43451, Maltase-glucoamylase, OCC1NC(CO)[C@@H](O)C(O)C1O, 700.0, CHEMBL649260, CHEMBL87169, None
CHEMBL2074, O43451, Maltase-glucoamylase, OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O, 3200.0, CHEMBL649260, CHEMBL2115215, None
CHEMBL2074, O43451, Maltase-glucoamylase, OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, 40.0, CHEMBL649260, CHEMBL501355, None
CHEMBL2074, O43451, Maltase-glucoamylase, OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, 8400.0, CHEMBL816395, CHEMBL2093897, None
CHEMBL2074, O43451, Maltase-glucoamylase, CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO, 60.0, CHEMBL649260, CHEMBL2442258, None
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO, 4200.0, CHEMBL649260, CHEMBL3084806, None
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO, 50000.0, CHEMBL710107, CHEMBL77918, None
CHEMBL2074, O43451, Maltase-glucoamylase, OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O, 360.0, CHEMBL710106, CHEMBL307429, NOJ
CHEMBL2074, O43451, Maltase-glucoamylase, OC[C@H]1NC[C@@H](O)[C@@H]1O, 55000.0, CHEMBL710106, CHEMBL80254, 1AB
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCN1C[C@@H](O)[C@H](O)[C@H]1CO, 50000.0, CHEMBL710107, CHEMBL310229, None
CHEMBL2074, O43451, Maltase-glucoamylase, CN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO, 50000.0, CHEMBL710107, CHEMBL310231, None
CHEMBL2074, O43451, Maltase-glucoamylase, OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O, 50000.0, CHEMBL710107, CHEMBL312653, DQQ
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO, 2100.0, CHEMBL710107, CHEMBL1029, NBV
CHEMBL2074, O43451, Maltase-glucoamylase, CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO, 120.0, CHEMBL710107, CHEMBL75971, None
CHEMBL2074, O43451, Maltase-glucoamylase, CN1C[C@@H](O)[C@H](O)[C@H]1CO, 500000.0, CHEMBL710107, CHEMBL80148, None
CHEMBL2074, O43451, Maltase-glucoamylase, O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12, 10400.0, CHEMBL646887, CHEMBL44, GEN
CHEMBL2074, O43451, Maltase-glucoamylase, O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12, 2610.0, CHEMBL646886, CHEMBL44, GEN
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCCCCCNC1C=C(CO)C(O)C(O)C1O, 17000.0, CHEMBL646884, CHEMBL422734, None
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O, None, CHEMBL646885, CHEMBL176679, None
CHEMBL2074, O43451, Maltase-glucoamylase, N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O, 100000.0, CHEMBL646884, CHEMBL1230806, ACI
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CNC1C=C(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCC, None, CHEMBL646885, CHEMBL369361, None
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCNC1C=C(CO)C(O)C(O)C1O, 100000.0, CHEMBL646884, CHEMBL367666, None
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCCCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O, 100000.0, CHEMBL646884, CHEMBL426933, None
CHEMBL2074, O43451, Maltase-glucoamylase, OC1C(O)C(O)C2OC2C1O, 100000.0, CHEMBL646884, CHEMBL174067, None
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O, None, CHEMBL646885, CHEMBL170431, None
CHEMBL2074, O43451, Maltase-glucoamylase, C[C@]12CCC(=O)CC1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12.C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O, 100000.0, CHEMBL646884, CHEMBL1744444, None
CHEMBL2074, O43451, Maltase-glucoamylase, CCCCCCNC1C=C(CO)C(O)C(O)C1O, 50000.0, CHEMBL646884, CHEMBL354193, None
